id,name
0,Abbreviation
1000,Glycerine(EP)
1001,Sorbitol(EP)
1003,Iodine(EP)
1006,정제수(BP)
2000,Solvent
2001,Vegetable grain oil
2003,Essential Oil Extracts
2006,Neem oil
2010,PVP
2015,Laureth-9
2021,Tocopheryl Acetate
2028,Bisabolol
3000,Water (Aqua)
3001,Boric acid
3003,Propylene glycol
3006,Glycerine
3010,Polysorbate 20
3015,Acetic acid
3021,Trolamine NF
3028,Hydrocortisone
3036,Peach Fragrance
4000,Purified water
4001,Simethicone
4003,Dimethicone Copolyol
4006,Cyclomethicone
4010,Emulsifiers
4015,DMDM Hydantoin
5000,Deionized water
5001,Sodium lauryl sulfate
5003,Sodium Laureth Sulfate
5006,Disodium Cocoamphodiacetate
5010,Cocamide DEA
5015,Propylene glycol
5021,Chloroxylenol
5028,Hydrolyzed Animal protein
5036,Trisodium EDTA
5045,Citric acid
5055,DMDM Hydantoin
5066,Fragrance
5078,색소
5091,Fat
6000,정제수
6001,Octyldodecyl Myriatate
6003,Carbomer
6006,Glycerine
6010,Propylene glycol
6015,Triethanolamine
6021,DMDM Hydantoin
6028,Fragrance
6036,FD C red
7000,Deionized water
7001,Ammonium Lauryl Sulf
7003,Cocamidopropyl Betaine
7006,Cocamide DEA
7010,Propylene
7015,Glycerine
7021,DMDM Hydantoin
7028,Fragrance
7036,Citric acid
8000,Water (Aqua)
8001,Cherry bark extract
8003,Lemon Grass Extract
8006,Chamomile extract
8010,Lavender
8015,Rosemary Extract
8021,Cetearyl alcohol
8028,Behentrimonium metho-sulfate
8036,Colza oil
8045,Evening primrose oil
8055,Rose hips
8066,Mango(Mangifera Indica) Fruit Extract)
8078,Stearmmine oxide
8091,Cyclomethicone
8105,Dimethicone
8120,Dimethiconol
8136,PEG
8153,Cocoamonium chloride
8171,Polymethodzy bicyclic oxazolidine
8190,Propylene glycol
8210,Citric acid
8231,Fragrance
8253,FD C blue
8276,EXT.VIOLET2
9000,Panthenol
9001,Lanoline
9003,Hydro-Fluorocarbon 152A
9006,SDA-40
9010,Isobutane
9015,Butyl Ester of PVM/MA Copolymer
9021,Octyl Methoxycinnamate
9028,Lactamide MEA
9036,Linoleamidopropyl ethyldimonium ethosulfate
9045,Dimethyl lauramide isostearate
9055,Aminomethyl propanol
9066,Octylacrylamide
9078,Acrylates
9091,Butylaminoethyl methacrylate copolymer
9105,Dimethyl Stearamine
9120,Fragrance
10000,정제수
10001,Sodium lauryl sulfate
10003,Ethylalcohol
10006,Citric acid
10010,DMDM Hydantoin
11000,Deionized water
11001,Citric acid
11003,Oleth-10
11006,Oleth-20
11010,Fragrance
11015,DMDM Hydantoin
11021,D C red
12000,Deionized water
12001,Mineral oil
12003,PEG-400 Dioleate
12006,Isopropyl myristate
12010,Evening primrose infusion
12015,Olive oil
12021,Unsaponifables
12028,Lanolin Oil
12036,Fragrance
12045,Propyl paraben
13000,Deionized water
13001,Isobutane
13003,SDA-40
13006,Trichloroethane
13010,C12-15 Alcohols benzoate
13015,Isopropyl myristate
13021,Lanolin Oil
13028,AMP Isostearoxyl hydrolized protein
13036,Mink oil
13045,Fragrance
14000,Deionized water
14001,Meleleuca oil
14003,Isopropyl Alcohol
14006,Nonoxynol-10
14010,PPG-12-PEG-65 Lanolin oil
14015,Cocodimonium hydroxpropyl hydrolyzed collagen
14021,Oleth-20
14028,Polysorbate 20
14036,Quaternium-15
14045,Methyl paraben
14055,Propyl paraben
14066,Denatonium benzoate
15000,Deionized water
15001,Lanoline
16000,Deionized water
16001,Steralkonium chloride
16003,Cetyl Alcohol
16006,Stearyl alcohol
16010,PEG-100 Stearate
16015,Dicetyidimonium Chloride
16021,Propylene glycol
16028,Hydrolyzed vegetable protein
16036,Triethanolamine
16045,Methyl paraben
16055,Propyl paraben
16066,Fragrance
16078,Citric acid
17000,Deionized water
17001,Sodium Laureth Sulfate
17003,Cocamide DEA
17006,Lauramide DEA
17010,Cocodimonium hydroxypropyl hydrolyzed wheat protein
17015,Hydrolyzed collagen
17021,Benzophenone-3
17028,PPG-12-PEG-50 Lanolin
17036,Fragrance
17045,Methyl paraben
17055,Propyl paraben
17066,Citric acid
17078,Sodium chloride
17091,색소
18000,Purified water
18001,Sodium olefin sulfonate
18003,Sodium Laureth Sulfate
18006,Lauramide DEA
18010,Sodium chloride
18015,PEG-150 distearate
18021,Colloidal Oatmeal
18028,Linoleamidopropyl PG demonium chloride
18036,Propylene glycol
18045,Tetrasodium EDTA
18055,Citric acid
18066,Fragrance
18078,Polymethodzy bicyclic oxazolidine
19000,정제수
19001,Sodium carbonate peroxyhydrate
19003,Glycerine
19006,Carboxylmethylcellulosesodium
19010,Triethanolamine
19015,Cetrimomium Chloride
19021,Methylchloroisothiazolinon
19028,Methylisothiazolinone
20000,정제수
20001,Sodium Laureth Sulfate
20003,Cocamidopropyl Betaine
20006,Cocamide DEA
20010,Octyldodecyl Myriatate
20015,Glycerine
20021,Fragrance
21000,정제수
21001,Ammonium Lauryl Sulf
21003,Lauramidopropyl betaine
21006,Lauramide DEA
21010,Lauryl Glucoside
21015,Vitamin E-acetate
21021,Citric acid
21028,Hydroxypropylmethylcellulse
21036,Erythorbic acid
21045,Sage extract
21055,Eucalyptus Globulus Leaf Oil
21066,Rosemary essential oil
21078,Glycerine
21091,Butyl paraben
