0,Abbreviation,"['0', '5900', '5906', '7600', '7700', '7800', '7900', '18300', '26300', '26400', '26500', '27400', '27500', '27600', '28600', '31900', '32000', '32100', '33100', '41301', '42100', '42400', '49600', '49700', '49800', '49900', '50100', '50200', '51200', '51500', '54300', '54400', '54500', '54600', '54700', '54800', '54900', '57400', '57600', '57700', '57800', '57900', '58000', '58100', '60600', '62500', '62600', '64500', '64800', '64900', '65500', '65600', '65700', '66200', '66300', '67800', '67900', '68000', '68100', '68200', '68300', '68400', '70000', '70100', '70200', '70300', '70400', '70500', '70600', '70700', '70800', '70900', '71300', '71700', '72300', '72400', '72500', '72700', '72800', '73000', '73200', '73600', '73700', '73800', '73900', '74000', '74600', '74700', '74800', '74900', '75000', '75100', '75300', '95000', '95400', '95500', '95600', '103200', '103300', '103400', '103500', '103600', '103700', '103800', '103900', '104000', '104100', '104200', '104700', '11900', '11906']"
1,Glycerine(EP),"['100', '6100']"
2,Sorbitol(EP),"['101', '76001', '15506', '6101']"
3,Iodine(EP),"['103', '6103']"
4,정제수(BP),['106']
5,Solvent,['200']
6,Vegetable grain oil,['201']
7,Essential Oil Extracts,"['203', '91406', '6206']"
8,Neem oil,"['206', '29410', '37915', '85803', '86101', '89455', '35410', '43915']"
9,PVP,['210']
10,Laureth-9,['215']
11,Tocopheryl Acetate,"['221', '10121', '13496', '13696', '13996', '13721', '14396', '14596', '14796', '15096', '15296', '15496', '27071', '15120', '15310', '78596', '51920', '52136', '52220', '52291', '52420', '52553', '52653', '84136', '92466', '95828', '102906', '16121', '19696', '19996', '20396', '20596', '20796', '21096', '21296', '21496', '33071']"
12,Bisabolol,['228']
13,Water (Aqua),"['300', '800', '9100', '10100', '78878', '79055', '79236', '79245', '79378', '79715', '80320', '83900', '84200', '90900', '91890', '92521', '92890', '92878', '93071', '93078', '93166', '93478', '94590', '94578', '94790', '94778', '94915', '95703', '95900', '96600', '97071', '97066', '99300', '99400', '100000', '100200', '100705', '100700', '100800', '101200', '101300', '101400', '101500', '101600', '101800', '101903', '102000', '102100', '102200', '102500', '102600', '102700', '102800', '102900', '103000', '103100', '6300', '6800', '15100', '16100']"
14,Boric acid,"['301', '4106', '9001', '9101', '9645', '9706', '25201', '26606', '31701', '36103', '36601', '36701', '79501', '79710', '88115', '95803', '96601', '100001', '100201', '100915', '101015', '6301', '10106', '15001', '15101', '15645', '31201', '32606', '37701', '42103']"
