,id,title
0,0,Abbreviation
1,1000,Glycerine
2,1001,Sorbitol
3,1003,Iodine
4,1006,정제수
5,2000,Solvent
6,2001,Vegetable grain oil
7,2003,Essential Oil Extracts
8,2006,Neem oil
9,2010,PVP
10,2015,Laureth-9
11,2021,Tocopheryl Acetate
12,2028,Bisabolol
13,3000,Water 
14,3001,Boric acid
15,3003,Propylene glycol
16,3006,Glycerine
17,3010,Polysorbate 20
18,3015,Acetic acid
19,3021,Trolamine NF
20,3028,Hydrocortisone
21,3036,Peach Fragrance
22,4000,Purified water
23,4001,Simethicone
24,4003,Dimethicone Copolyol
25,4006,Cyclomethicone
26,4010,Emulsifiers
27,4015,DMDM Hydantoin
28,5000,Deionized water
29,5001,Sodium lauryl sulfate
30,5003,Sodium Laureth Sulfate
31,5006,Disodium Cocoamphodiacetate
32,5010,Cocamide DEA
33,5015,Propylene glycol
34,5021,Chloroxylenol
35,5028,Hydrolyzed Animal protein
36,5036,Trisodium EDTA
37,5045,Citric acid
38,5055,DMDM Hydantoin
39,5066,Fragrance
40,5078,색소
41,5091,Fat
42,6000,정제수
43,6001,Octyldodecyl Myriatate
44,6003,Carbomer
45,6006,Glycerine
46,6010,Propylene glycol
47,6015,Triethanolamine
48,6021,DMDM Hydantoin
49,6028,Fragrance
50,6036,FD C red
51,7000,Deionized water
52,7001,Ammonium Lauryl Sulf
53,7003,Cocamidopropyl Betaine
54,7006,Cocamide DEA
55,7010,Propylene
56,7015,Glycerine
57,7021,DMDM Hydantoin
58,7028,Fragrance
59,7036,Citric acid
60,8000,Water 
61,8001,Cherry bark extract
62,8003,Lemon Grass Extract
63,8006,Chamomile extract
64,8010,Lavender
65,8015,Rosemary Extract
66,8021,Cetearyl alcohol
67,8028,Behentrimonium metho-sulfate
68,8036,Colza oil
69,8045,Evening primrose oil
70,8055,Rose hips
71,8066,Mango
72,8078,Stearmmine oxide
73,8091,Cyclomethicone
74,8105,Dimethicone
75,8120,Dimethiconol
76,8136,PEG
77,8153,Cocoamonium chloride
78,8171,Polymethodzy bicyclic oxazolidine
79,8190,Propylene glycol
80,8210,Citric acid
81,8231,Fragrance
82,8253,FD C blue
83,8276,EXT.VIOLET2
84,9000,Panthenol
85,9001,Lanoline
86,9003,Hydro-Fluorocarbon 152A
87,9006,SDA-40
88,9010,Isobutane
89,9015,Butyl Ester of PVM/MA Copolymer
90,9021,Octyl Methoxycinnamate
91,9028,Lactamide MEA
92,9036,Linoleamidopropyl ethyldimonium ethosulfate
93,9045,Dimethyl lauramide isostearate
94,9055,Aminomethyl propanol
95,9066,Octylacrylamide
96,9078,Acrylates
97,9091,Butylaminoethyl methacrylate copolymer
98,9105,Dimethyl Stearamine
99,9120,Fragrance
100,10000,"마트리카리아꽃수/1,2-헥산다이올"
101,10001,부틸렌글리콜
102,10003,"1,2-헥산다이올"
103,10006,염화나트륨 
104,10010,정제수/헥실렌글라이콜/레볼리닉애씨드/소듐바이카보네이트/라우릴피리디늄클로라이드
105,11000,정제수 
106,11001,디나트륨이디티에이 
107,11003,사이클로덱스트린 
108,11006,정제수&클로린다이옥사이드 
109,11010,부틸렌글리콜 
110,11015,폴리옥시에틸렌경화피마자유 
111,11021,서양측백나무잎오일 
112,12000,정제수
113,12001,피이지-40하이드로제네이티드캐스터오일
114,12003,카프릴릴글라이콜
115,12006,다이프로필렌글라이콜
116,12010,글리세릴카프릴레이트
117,12015,페닐프로판올
118,12021,향료
119,12028,클로헥시딘다이글루코네이트
120,12036,리모넨
121,12045,살비아잎추출물
122,13000,에스디알코올40-B
123,13001,정제수
124,13003,향료
125,13006,Trichloroethane
126,13010,C12-15 Alcohols benzoate
127,13015,Isopropyl myristate
128,13021,Lanolin Oil
129,13028,AMP Isostearoxyl hydrolized protein
130,13036,Mink oil
131,13045,Fragrance
132,14000,변성알코올40
133,14001,하이드로플루오로카본152에이
134,14003,브이에이/크로토네이트/비닐네오데카노에이트코폴리머
