0,Abbreviation,"['0', '5900', '5906', '7600', '7700', '7800', '7900', '18300', '26300', '26400', '26500', '27400', '27500', '27600', '28600', '31900', '32000', '32100', '33100', '41301', '42100', '42400', '49600', '49700', '49800', '49900', '50100', '50200', '51200', '51500', '54300', '54400', '54500', '54600', '54700', '54800', '54900', '57400', '57600', '57700', '57800', '57900', '58000', '58100', '60600', '62500', '62600', '64500', '64800', '64900', '65500', '65600', '65700', '66200', '66300', '67800', '67900', '68000', '68100', '68200', '68300', '68400', '70000', '70100', '70200', '70300', '70400', '70500', '70600', '70700', '70800', '70900', '71300', '71700', '72300', '72400', '72500', '72700', '72800', '73000', '73200', '73600', '73700', '73800', '73900', '74000', '74600', '74700', '74800', '74900', '75000', '75100', '75300', '95000', '95400', '95500', '95600', '103200', '103300', '103400', '103500', '103600', '103700', '103800', '103900', '104000', '104100', '104200', '104700', '11900', '11906']"
1,Glycerine,"['100', '306', '606', '715', '1903', '2015', '2178', '2221', '2415', '2821', '4903', '5315', '5400', '5915', '7006', '9006', '9106', '9601', '9821', '9901', '10221', '10415', '12110', '16803', '17903', '19128', '19900', '20906', '21401', '21501', '21701', '21806', '22315', '25303', '25574', '25670', '25803', '26066', '27710', '27810', '28015', '28110', '28210', '28415', '28921', '29136', '29301', '29806', '29901', '30001', '30101', '30400', '31528', '31606', '33306', '36710', '36866', '37010', '37221', '37300', '37601', '37706', '38006', '40636', '41601', '41855', '42710', '42810', '42910', '43010', '43215', '46001', '47436', '48866', '49010', '52303', '53766', '53910', '56010', '56610', '56710', '56810', '56910', '57001', '58710', '58810', '59900', '60006', '60106', '60201', '62001', '63036', '64201', '65101', '71920', '75506', '44510', '54006', '60906', '63966', '98991', '11710', '11900', '12100', '12210', '12915', '13210', '13310', '13810', '14110', '41036', '41745', '41836', '42028', '61300', '6115', '6403', '6503', '19728', '24310', '43700', '50436', '55315', '55406', '69306', '79121', '79891', '81436', '81536', '81636', '82406', '82506', '82606', '82706', '82806', '82906', '83006', '83903', '84910', '85215', '85406', '85503', '86803', '88106', '90601', '91645', '94901', '96603', '97206', '97310', '98028', '99203', '99410', '99610', '99703', '100003', '100206', '100815', '101601', '102101', '104410', '6100', '6306', '6606', '6715', '7903', '8015', '8178', '8221', '8415', '8821', '10903', '11400', '11915', '13006', '15006', '15106', '15601', '15901', '16221', '16415', '18110', '22803', '23903', '25128', '25900', '26906', '27401', '27501', '27701', '27806', '28315', '31303', '31574', '31670', '32066', '33710', '33810', '34015', '34110', '34210', '34415', '34921', '35136', '35301', '35806', '35901', '36001', '36101', '36400', '37528', '37606', '39306', '42710', '42866', '43010', '43221', '43300', '43601', '43706', '44006', '46636', '47601', '47855', '48710', '48810', '48910', '49010', '49215', '52001', '53436', '54866', '55010', '58303', '59766', '59910', '62010', '62610', '62710', '62810', '62910', '63001', '64710', '64810', '65906', '66006', '66106', '66201', '68001', '69036', '70201', '71101', '77920']"
2,Sorbitol,"['101', '2915', '9203', '9303', '13231', '13431', '13731', '14131', '14331', '14531', '14831', '15031', '15231', '18403', '20900', '22321', '31536', '41101', '45502', '56601', '64203', '71866', '74103', '76715', '26300', '28200', '28303', '43800', '50406', '50603', '92900', '9800', '9906', '25300', '49600', '76001', '86310', '86406', '98910', '99010', '12921', '15506', '35136', '61301', '61401', '61501', '61603', '64755', '64855', '64955', '36903', '38401', '50603', '61066', '71006', '76906', '86228', '86428', '86528', '86628', '86728', '86928', '87028', '87736', '89328', '89428', '89528', '89628', '89715', '89828', '89928', '90028', '97315', '6101', '8915', '15203', '15303', '19431', '19731', '20131', '20331', '20531', '20831', '21031', '21231', '24403', '26900', '28321', '37536', '47101', '51502', '62601', '70203', '77866', '80103']"
3,Iodine,"['103', '27300', '39355', '42610', '45101', '45215', '69210', '69410', '73455', '81620', '81720', '82305', '82666', '83036', '83320', '83321', '83455', '83728', '83855', '73336', '77231', '80066', '81015', '89655', '91921', '96515', '6103', '33300', '45355', '48610', '51101', '51215', '75210', '75410', '79455', '87620', '87720', '88305', '88666', '89036', '89320', '89321', '89455', '89728', '89855']"
4,정제수,"['106', '600', '1000', '1900', '2000', '2100', '2300', '2400', '2500', '2600', '2700', '2900', '3391', '3505', '3578', '3655', '3715', '3821', '3906', '4006', '4121', '4215', '4300', '4400', '4500', '4600', '4700', '4800', '4900', '5000', '5100', '5300', '5628', '5710', '6055', '6290', '6228', '6300', '6400', '6600', '6700', '6800', '6900', '7105', '7191', '7255', '7323', '7423', '7519', '8000', '8100', '8200', '8300', '8400', '8500', '8600', '8920', '8921', '9000', '9200', '9300', '9600', '9700', '9800', '9900', '10000', '10200', '10500', '10936', '11071', '11190', '11271', '11371', '11436', '11590', '11916', '11915', '12271', '12353', '12420', '12406', '12506', '12606', '12700', '15100', '15206', '15553', '15610', '15605', '16390', '16490', '16653', '16731', '16628', '17071', '17045', '17210', '17553', '17631', '17753', '17771', '17778', '17815', '17978', '18021', '18121', '18221', '18506', '18600', '18700', '19344', '19145', '19236', '19420', '19631', '19605', '19831', '19820', '19891', '20020', '20166', '20228', '20420', '20731', '20691', '20791', '20955', '21120', '21191', '21291', '21355', '21445', '21536', '21600', '21700', '21800', '22090', '22153', '22290', '22278', '22355', '22991', '23105', '23253', '23305', '23420', '23455', '23591', '23621', '23766', '23891', '23921', '24021', '24121', '24221', '24631', '24620', '24810', '24890', '24906', '25010', '25110', '25300', '26210', '26166', '26855', '26877', '27153', '27231', '27353', '27871', '27936', '27955', '28078', '28271', '28336', '28391', '28478', '28710', '28953', '28900', '29000', '29100', '30766', '30971', '31110', '31078', '31310', '31410', '31510', '31610', '31591', '31920', '32221', '32321', '32410', '32668', '32756', '33092', '33345', '33415', '33578', '33791', '33891', '34005', '34136', '34145', '34353', '34471', '34478', '34776', '34790', '34853', '34828', '35005', '35000', '35121', '35753', '35700', '35801', '36000', '36110', '36520', '36521', '36755', '37053', '37071', '37190', '37100', '37228', '37315', '37415', '37521', '37610', '37710', '37815', '37955', '38010', '38110', '38201', '39610', '39690', '39691', '39805', '39891', '40053', '40078', '40166', '40228', '40450', '40555', '40600', '40700', '40800', '40900', '41000', '41100', '41215', '41428', '41528', '41628', '41853', '41920', '41955', '42015', '42210', '42336', '42871', '42971', '43131', '43171', '43166', '43278', '43378', '43590', '43500', '43771', '43777', '43953', '44090', '44136', '44271', '44215', '44315', '44415', '44800', '44900', '45000', '45601', '45853', '45878', '45918', '46036', '46305', '46420', '46520', '46671', '46691', '46936', '47015', '47205', '47320', '47420', '47571', '47506', '47606', '47706', '47806', '47906', '48003', '48106', '48206', '48478', '48510', '48706', '48990', '49053', '49153', '49166', '49266', '49355', '49505', '49566', '50415', '50521', '50677', '50706', '50845', '50915', '51155', '51770', '51844', '52042', '52000', '52143', '52237', '52321', '52448', '52650', '52808', '52906', '53033', '53067', '53130', '53358', '53325', '53300', '53890', '54012', '54053', '54153', '54365', '55003', '55110', '55215', '55306', '55445', '55515', '55678', '55736', '55945', '56028', '56115', '56328', '56421', '56600', '56791', '56990', '56945', '57015', '57115', '57215', '57420', '58491', '58455', '58591', '58678', '58820', '58920', '58906', '59015', '59290', '59291', '59566', '60491', '60915', '61015', '61115', '61215', '61310', '61415', '61771', '61844', '62015', '62115', '62215', '62453', '62891', '62966', '63170', '63226', '63353', '63316', '63410', '64221', '66591', '66955', '67190', '67506', '67255', '69221', '69306', '69421', '69651', '69915', '74301', '74403', '75406', '75500', '75610', '75710', '75810', '75910', '76010', '76310', '77115', '77221', '78303', '78603', '79091', '83128', '1200', '1301', '1600', '2000', '2100', '2200', '2401', '2500', '3900', '4171', '4200', '4500', '4600', '5191', '5700', '5878', '5978', '6078', '6200', '6591', '6678', '7300', '7776', '7900', '8000', '8100', '8200', '8300', '8400', '9400', '11936', '13700', '13800', '13903', '14303', '14403', '14700', '16000', '16100', '16718', '16941', '17100', '17200', '17500', '17600', '17700', '18000', '18600', '18700', '19000', '19200', '19400', '20800', '20900', '21000', '21200', '21555', '21700', '22701', '23100', '23466', '23503', '24700', '24978', '25105', '25400', '26121', '26236', '26800', '26900', '27000', '27700', '28736', '28900', '29800', '30001', '30536', '30645', '31200', '31600', '32300', '32636', '32853', '33236', '33453', '33900', '35900', '36000', '36100', '36200', '36300', '40301', '40906', '41300', '41400', '41500', '45536', '45700', '45800', '45900', '46000', '46100', '46200', '46300', '46400', '46500', '46600', '46700', '46800', '46900', '47100', '47200', '47300', '47400', '47500', '47600', '47700', '47800', '47900', '48000', '48100', '48200', '48400', '48500', '48600', '48800', '48900', '49000', '49100', '49200', '49300', '49400', '49500', '49600', '49700', '49800', '49900', '50000', '50100', '50200', '50300', '50400', '50500', '50600', '50700', '50800', '50900', '51000', '51100', '51200', '51300', '51400', '51500', '51600', '51700', '51800', '51900', '52000', '52100', '52200', '52300', '52400', '52500', '52600', '52700', '52800', '52900', '53000', '53100', '53200', '53300', '53400', '53500', '53600', '53700', '53800', '53900', '54000', '54100', '54200', '54300', '54400', '54500', '54800', '54900', '55000', '55200', '55300', '55500', '55600', '55800', '56100', '56200', '57000', '57100', '57378', '57478', '57500', '62501', '63500', '64810', '65091', '65191', '65336', '65590', '65936', '66121', '67200', '67300', '67500', '67936', '70221', '70700', '70800', '70900', '71000', '71100', '71600', '71700', '71800', '72041', '72200', '72301', '73603', '74392', '74700', '74800', '75020', '75000', '76200', '76300', '76400', '76500', '77000', '77100', '77200', '77300', '77400', '77500', '78010', '78600', '78900', '79000', '79100', '79200', '79671', '79736', '80036', '80100', '80200', '80300', '80400', '80500', '81100', '82100', '82200', '82300', '82815', '82900', '83100', '83200', '83300', '84000', '84100', '84200', '84300', '84401', '84500', '84600', '84828', '84983', '85151', '85204', '85200', '85300', '85400', '85500', '85600', '85700', '86200', '87000', '87200', '87300', '88400', '89300', '89445', '89536', '89600', '89755', '89900', '90153', '90500', '90600', '90700', '90800', '90921', '91400', '91521', '91621', '92100', '92300', '92800', '93410', '93920', '94020', '94200', '94300', '94400', '94900', '96100', '96200', '96800', '96900', '97000', '97100', '97200', '98431', '98531', '99000', '99800', '99900', '100000', '100100', '100200', '100731', '100831', '100745', '3200', '3300', '3400', '3500', '3666', '3700', '3800', '3900', '4100', '7900', '8231', '8200', '10000', '11200', '11751', '11500', '12000', '12100', '12200', '12400', '13800', '13900', '14500', '14828', '15245', '16000', '17199', '16866', '17336', '17315', '18200', '19078', '19500', '19600', '20000', '20100', '20400', '20500', '20715', '20815', '22305', '22400', '22500', '22753', '22836', '22920', '23300', '24300', '24500', '24703', '25736', '26328', '26900', '27220', '27353', '27420', '28291', '28400', '29300', '29400', '29500', '29600', '30000', '30151', '30200', '30171', '30100', '30200', '30300', '30400', '30500', '30728', '30900', '31000', '31100', '31200', '31300', '31745', '33045', '35300', '35400', '35500', '36400', '36800', '37055', '37436', '37800', '37900', '38000', '38166', '38378', '38528', '38600', '38700', '38800', '39453', '39836', '40628', '40728', '41794', '42400', '42500', '42600', '42700', '43755', '43891', '46720', '47001', '47455', '48400', '48500', '48800', '48900', '49000', '54900', '55500', '56500', '60828', '61100', '62845', '62978', '64166', '65210', '65300', '67315', '67500', '68205', '68410', '68355', '68455', '70503', '70603', '72953', '73701', '75510', '75631', '75731', '76866', '77528', '77628', '77721', '77821', '77921', '78078', '78836', '78845', '79090', '79210', '79128', '79255', '79405', '79505', '79690', '79705', '79836', '80010', '79900', '80000', '80100', '80200', '80300', '80400', '80500', '80600', '80700', '80800', '80900', '81000', '81700', '83100', '86416', '89536', '89628', '89745', '91500', '92991', '94036', '94136', '95045', '98200', '99455', '99434', '99579', '99691', '99700', '100591', '100603', '100890', '101342', '101409', '101523', '6029', '5710', '7621', '8166', '8210', '8466', '8618', '8700', '8800', '8900', '9514', '9700', '9731', '9831', '10000', '9891', '10514', '10614', '10714', '13905', '14315', '15233', '15836', '16100', '16200', '16300', '16578', '17910', '18800', '18900', '19000', '19278', '19321', '19436', '19578', '21671', '22410', '22531', '23245', '23321', '23628', '23728', '23828', '23936', '24066', '24128', '24536', '24653', '24800', '24900', '25436', '25600', '25700', '25800', '25900', '26000', '26100', '26555', '26655', '26728', '26800', '26921', '27763', '27814', '28671', '28771', '28755', '28855', '29653', '29693', '29793', '30401', '30720', '30778', '31824', '31955', '32066', '32136', '32315', '33000', '33100', '33200', '34653', '34621', '34778', '35578', '37405', '37466', '38400', '38500', '38600', '38700', '38800', '39590', '39900', '41303', '42200', '44391', '44478', '44620', '45476', '46536', '46636', '46736', '47590', '47578', '47645', '47745', '49656', '49678', '50036', '50145', '51229', '52042', '52766', '52828', '54736', '56366', '56478', '56515', '56646', '56820', '57800', '57900', '60705', '60921', '61210', '61258', '61358', '61497', '61590', '61503', '61853', '61953', '62036', '62059', '62171', '62259', '63200', '63300', '63500', '63600', '63800', '64100', '64200', '64400', '64500', '64600', '64700', '65300', '65400', '65500', '65600', '66206', '66413', '66690', '67995', '68095', '68161', '68135', '68178', '70625', '71951', '71840', '72006', '72628', '73636', '76106', '76628', '77171', '78745', '79290', '79366', '82047', '82436', '82853', '82971', '83110', '83153', '83310', '83978', '83791', '84077', '85236', '85555', '85936', '86166', '88051', '88100', '88406', '88528', '88736', '89165', '88953', '88915', '89078', '89565', '89228', '89796', '89890', '90591', '90720', '92336', '92591', '92657', '93136', '93215', '93328', '93520', '93636', '93736', '93853', '93836', '93945', '94055', '95028', '95115', '95216', '95322', '95991', '96091', '96221', '96478', '96545', '96705', '96734', '98000', '99115', '100500', '100600', '100953', '101036', '101200', '4553', '4953', '6155', '11471', '11553', '11510', '11720', '11755', '11905', '11928', '12010', '12128', '12266', '12420', '12505', '12510', '12621', '12791', '12806', '12955', '13105', '13205', '13255', '13355', '13505', '13591', '13705', '13820', '13855', '14005', '14120', '14155', '14291', '14471', '14590', '14690', '14691', '14871', '15515', '16930', '19936', '20036', '21191', '27610', '28853', '28953', '28921', '29145', '29803', '30071', '30136', '30236', '30353', '30845', '33048', '33248', '33790', '33836', '33990', '34090', '35600', '35921', '36390', '36553', '36653', '37521', '38128', '40028', '40100', '43955', '44315', '44821', '44921', '45021', '46153', '46236', '46353', '46436', '46455', '47776', '48191', '50197', '51171', '51271', '51310', '52936', '53021', '53205', '53255', '53321', '54405', '54841', '54906', '55266', '55588', '55691', '55721', '56006', '56183', '56282', '57536', '58237', '58349', '58453', '58520', '58620', '58720', '59345', '60601', '60715', '60801', '60901', '62420', '63676', '63966', '64250', '64306', '64421', '64591', '64687', '64890', '64990', '65071', '65000', '65166', '65291', '65405', '65436', '65500', '76801', '76903', '77105', '78366', '78590', '79728', '81490', '81610', '81966', '82028', '82136', '82245', '82345', '82728', '82915', '83620', '83928', '88115', '88336', '88678', '88797', '88912', '89110', '89215', '91153', '92010', '92236', '92324', '92436', '92571', '93145', '95636', '95736', '95836', '96145', '97071', '97276', '97376', '97615', '98036', '98115', '98664', '99031', '99136', '100710', '100836', '102136', '102390', '102821', '103253', '103371', '103471', '103590', '103946', '5510', '5853', '5891', '6005', '6000', '6100', '6200', '6300', '6400', '6500', '6700', '8810', '9621', '9721', '9921', '10028', '10821', '11678', '11545', '11657', '11757', '11953', '12053', '12153', '13321', '13628', '13728', '13815', '17071', '17300', '17376', '17476', '17576', '17520', '17620', '17736', '18753', '18853', '18971', '19071', '19910', '21936', '22036', '22153', '22228', '22321', '23703', '25428', '25635', '29215', '30171', '30271', '30353', '31543', '32821', '33828', '34636', '35468', '35543', '36250', '36900', '37128', '37221', '37328', '37428', '37821', '38255', '38345', '38436', '38515', '40553', '40631', '40690', '40790', '41045', '41115', '41266', '41465', '41536', '41636', '41753', '41853', '41845', '41936', '43071', '43098', '43228', '43303', '43436', '43636', '43753', '43805', '44255', '44315', '44553', '44653', '44736', '45553', '45671', '45771', '46855', '46945', '47036', '49153', '49278', '50021', '50236', '50453', '50571', '57810', '58255', '59176', '59276', '59376', '60845', '60966', '61091', '61320', '62053', '62153', '62045', '62128', '62336', '62453', '62520', '62600', '62953', '63315', '64445', '64645', '65628', '65855', '66951', '67170', '68891', '68945', '69021', '69115', '69943', '71271', '71353', '71355', '71415', '71515', '71615', '71755', '72445', '72536', '72645', '72736', '72855', '72936', '73106', '73315', '73445', '73684', '74036', '74220', '74236', '74372', '74436', '74628', '74736', '74845', '75036', '75171', '75253', '75476', '75576', '75676', '75800', '75771', '75821', '76010', '76106', '76201', '76753', '76871', '76855', '77515', '78166', '78600', '78720', '79920', '79936', '80736', '81228', '81328', '81553', '81636', '81753', '82100', '82200', '82325', '82400', '82476', '82735', '83396', '83491', '83521', '83625', '83725', '83825', '84411', '84620', '84720', '84805', '84900', '85000', '85100', '85200', '85301', '85400', '85500', '85600', '85800', '85900', '86000', '86100', '86200', '86300', '86400', '86500', '86600', '86700', '86800', '86900', '87000', '87100', '87200', '87300', '87400', '87500', '87600', '87700', '87800', '87900', '88003', '88100', '88203', '88300', '88403', '88615', '88710', '88803', '89003', '89103', '89206', '89300', '89400', '89500', '89600', '89700', '89800', '89900', '90000', '90101', '90200', '90300', '90400', '90500', '90600', '90700', '90800', '91136', '91291', '92345', '92505', '95155', '95266', '95366', '96136', '96291', '96366', '97101', '97245', '97336', '98055', '98253', '98336', '98453', '98421', '98560', '98660', '99745', '101101', '101700', '6600', '7000', '7900', '8000', '8100', '8300', '8400', '8500', '8600', '8700', '8900', '9906', '10300', '10400', '10500', '10600', '10700', '10800', '10900', '11100', '11300', '12300', '12400', '12600', '12700', '12800', '12900', '13323', '13423', '13519', '14000', '14100', '14200', '14300', '14400', '14500', '14600', '15000', '15200', '15300', '15600', '15900', '16000', '16200', '16500', '17916', '18700', '18800', '18900', '19000', '20900', '21100', '23045', '24506', '24600', '24700', '27600', '27700', '27800', '30906', '31300', '31800', '34900', '35000', '35100', '36500', '41700', '41801', '42000', '43071', '43190', '43100', '43500', '44110', '44201', '46166', '46228', '46600', '46700', '46800', '47000', '47100', '47206', '49500', '49777', '50800', '51000', '51601', '51918', '54510', '54706', '56300', '56415', '56677', '56706', '57155', '57770', '57844', '58042', '58000', '58143', '58237', '58448', '59300', '60012', '60365', '61306', '61945', '62600', '69170', '69100', '69316', '73190', '75651', '80301', '81500', '82310', '83221', '83800', '85091']"
5,Solvent,['200']
6,Vegetable grain oil,['201']
7,Essential Oil Extracts,"['203', '91406', '6206']"
8,Neem oil,"['206', '29410', '37915', '85803', '86101', '89455', '35410', '43915']"
9,PVP,"['210', '52701', '65706', '19303']"
