Acacia,아카시아
Acarus siro,굵은다리가루진드기
Almond Oil,아몬드 오일
Alternaria alternata   ,알타나리아 알테르나타(곰팡이)
Anchovy,멸치
Ant                           ,개미
Apple,사과
Aspergillus fumigatus,아스퍼질루스 퍼미가투스(곰팡이)
Baker's yeast,빵 효모
Banana,바나나
Barley,보리
Bean Curd,두부
Beef,쇠고기
Beet,비트
Bermuda grass,버뮤다그래스
Blackberry,블랙베리
Blomia tropicalis,열대지방 집먼지 진드기
Blueberry,블루베리
Bok Choy,청경채
Brewer's yeast,맥주 효모
Brewer’s Rice,Brewer’s Rice
Broccoli,브로콜리
Brown Rice,현미
Brussels Sprout,싹양배추
Buckwheat,메밀
Buffalo/Bison,버팔로/바이슨 고기
Cabbage,양배추
Candida albicans,칸디다 알비칸스(진균)
Canola Oil,카놀라유
Cantaloupe          ,멜론
Carrot,당근
Cat hair/Dog hair,고양이털/개털
Cauliflower,콜리플라워
Celery,셀러리
Cheese,치즈
Chick Pea,병아리콩
Chicken,닭고기
Cladosporium herbarum,클라도스포리움(곰팡이)
Cockroach,바퀴벌레
Coconut,코코넛
Cod Liver Oil,간유
Codfish,대구
Collard Greens,콜라드 그린
Corn,옥수수
Corn Syrup,옥수수 시럽
Cottonseed Oil,면실유
Cow epithelia,소 상피
Crab,게
Cranberry,크랜베리
Cucumber,오이
Dairy,유제품
Dermatophagoides farinae,북아메리카 집먼지 진드기
Dermatophagoides pteronyssinus,유럽 집먼지 진드기
Duck,오리고기
Duck Egg,오리알
Dust Mites or Dust,집먼지 진드기 또는 먼지
Egg White,달걀 흰자위
Egg Yolk,달걀 노른자
Eucalyptus,유칼립투스
Feathers,깃털
Fish Meal,생선 음식
Fish Stock,건어물
Flatspine Bur Ragweed,돼지풀
Flax,아마
Flaxseed Oil,아마씨유
Flea,벼룩
Fungus (Household),곰팡이(가정)
Fungus (Plant),곰팡이(식물)
Gelatin,젤라틴
Glucosamine,글루코사민
Goat’s Milk,염소 우유
Grains (Bread),곡물(빵)
Grass,잔디
Grean Beans,강낭콩
Green Lipped Mussel,초록입홍합
Green Peas,녹색 완두콩
Guava,구아바
Halibut,넙치
Honey,꿀
House Fly,집파리
Kale,케일
Kelp,켈프
Kentucky blue grass,켄터키 블루그래스
Kidney Beans,강낭콩
Lamb,양고기
Lecithin,레시틴
Lemon,레몬
Lima Beans,리마콩
Limonene,리모넨
Mackerel,고등어
Malassezia pachydermatis,말라세지아 후피증
Mandarin orange,만다린 오렌지
Mango,망고
Milk,우유
Millet,기장
Mixed feathers,혼합 깃털
Molasses,당밀
Mosquito,모기
Moths,나방
Navy Beans,흰강낭콩
Oat,귀리
Oat Meal,오트밀
Olive Oil,올리브유
Orange,오렌지
Paper mulberry,닥나무
Pea,완두콩
Peach,복숭아
Peanut,땅콩
Peanut Butter,피넛 버터
Pear,배
Penicillium notatum,푸른곰팡이
Pineapple,파인애플
Pinto Beans,핀토콩
Pollen,꽃가루
Pork,돼지고기
Potato,감자
Propylene Glycol n-Butyl Ether,프로필렌 글리콜 n-부틸 에텔
Pumpkin,호박
Quinoa,퀴노아
Rabbit,토끼
Raspberry,라즈베리
Rice,쌀
Rice Bran,쌀겨
Rosemary,로즈마리
Sage,세이지
Salmon,연어
Sardine,정어리
Sheep sorrel,애기수영
Shellfish,조개
Shrimp,새우
Sorghum,수수
Soy bean,콩
Spicy amaranth,아마란스
Spinach,시금치
Staphylococcus aureus,황색포도상구균
Strawberry,딸기
Sunflower Oil,해바라기유
Sweet Potato,고구마
Tapioca,타피오카
Tempeh,템페
Tick,진드기
Tobacco,담배
Tomato,토마토
Trout,송어
Tuna,참치
Turkey,칠면조고기
Turnip,순무
Tyrophagus putrescentiae,긴털가루진드기
Vegetable Oil,식물성 기름
Venison,사슴 고기
Watermelon,수박
Wheat,밀
Whey,유청
White Rice,흰쌀
Wool,양모
Yam,얌
Yellow Peas,노란 완두콩
Yogurt,요거트
Yucca,유카
Zucchini,서양호박
