0,Abbreviation,"['0', '59000', '59006', '76000', '77000', '78000', '79000', '183000', '263000', '264000', '265000', '274000', '275000', '276000', '286000', '319000', '320000', '321000', '331000', '413001', '421000', '424000', '496000', '497000', '498000', '499000', '501000', '502000', '512000', '515000', '543000', '544000', '545000', '546000', '547000', '548000', '549000', '574000', '576000', '577000', '578000', '579000', '580000', '581000', '606000', '625000', '626000', '645000', '648000', '649000', '655000', '656000', '657000', '662000', '663000', '678000', '679000', '680000', '681000', '682000', '683000', '684000', '700000', '701000', '702000', '703000', '704000', '705000', '706000', '707000', '708000', '709000', '713000', '717000', '723000', '724000', '725000', '727000', '728000', '730000', '732000', '736000', '737000', '738000', '739000', '740000', '746000', '747000', '748000', '749000', '750000', '751000', '753000', '50900000', '50904000', '50905000', '50906000', '50982000', '50983000', '50984000', '50985000', '50986000', '50987000', '50988000', '50989000', '50990000', '50991000', '50992000', '50997000', '60059000', '60059006']"
1,Glycerine,"['1000', '3006', '6006', '7015', '19003', '20015', '21078', '22021', '24015', '28021', '49003', '53015', '54000', '59015', '70006', '90006', '91006', '96001', '98021', '99001', '102021', '104015', '121010', '168003', '179003', '191028', '199000', '209006', '214001', '215001', '217001', '218006', '223015', '253003', '255074', '256070', '258003', '260066', '277010', '278010', '280015', '281010', '282010', '284015', '289021', '291036', '293001', '298006', '299001', '300001', '301001', '304000', '315028', '316006', '333006', '367010', '368066', '370010', '372021', '373000', '376001', '377006', '380006', '406036', '416001', '418055', '427010', '428010', '429010', '430010', '432015', '460001', '474036', '488066', '490010', '523003', '537066', '539010', '560010', '566010', '567010', '568010', '569010', '570001', '587010', '588010', '599000', '600006', '601006', '602001', '620001', '630036', '642001', '651001', '718120', '755006', '30415010', '30510006', '30579006', '30609066', '30959091', '40077010', '40079000', '40081000', '40082010', '40089015', '40092010', '40093010', '40098010', '40101010', '40370036', '40377045', '40378036', '40380028', '40573000', '50011015', '50014003', '50015003', '50147028', '50193010', '50387000', '50454036', '50503015', '50504006', '50643006', '50741021', '50748091', '50764036', '50765036', '50766036', '50774006', '50775006', '50776006', '50777006', '50778006', '50779006', '50780006', '50789003', '50799010', '50802015', '50804006', '50805003', '50818003', '50831006', '50856001', '50866045', '50899001', '50916003', '50922006', '50923010', '50930028', '50942003', '50944010', '50946010', '50947003', '50950003', '50952006', '50958015', '50966001', '50971001', '50994010', '60001000', '60003006', '60006006', '60007015', '60019003', '60020015', '60021078', '60022021', '60024015', '60028021', '60049003', '60054000', '60059015', '60070006', '60090006', '60091006', '60096001', '60099001', '60102021', '60104015', '60121010', '60168003', '60179003', '60191028', '60199000', '60209006', '60214001', '60215001', '60217001', '60218006', '60223015', '60253003', '60255074', '60256070', '60260066', '60277010', '60278010', '60280015', '60281010', '60282010', '60284015', '60289021', '60291036', '60293001', '60298006', '60299001', '60300001', '60301001', '60304000', '60315028', '60316006', '60333006', '60367010', '60368066', '60370010', '60372021', '60373000', '60376001', '60377006', '60380006', '60406036', '60416001', '60418055', '60427010', '60428010', '60429010', '60430010', '60432015', '60460001', '60474036', '60488066', '60490010', '60523003', '60537066', '60539010', '60560010', '60566010', '60567010', '60568010', '60569010', '60570001', '60587010', '60588010', '60599006', '60600006', '60601006', '60602001', '60620001', '60630036', '60642001', '60651001', '60718120']"
2,Sorbitol,"['1001', '29015', '92003', '93003', '130231', '132231', '135231', '139231', '141231', '143231', '146231', '148231', '150231', '184003', '209000', '223021', '315036', '411001', '455002', '566001', '642003', '718066', '741003', '767015', '10253000', '20262000', '20263003', '20418000', '20484006', '20486003', '20909000', '30068000', '30069006', '30223000', '30466000', '30730001', '30833010', '30834006', '30959010', '30960010', '40089021', '40115006', '40311036', '40573001', '40574001', '40575001', '40576003', '40607055', '40608055', '40609055', '50319003', '50334001', '50456003', '50560066', '50660006', '50719006', '50812028', '50814028', '50815028', '50816028', '50817028', '50819028', '50820028', '50827036', '50843028', '50844028', '50845028', '50846028', '50847015', '50848028', '50849028', '50850028', '50923015', '60001001', '60029015', '60092003', '60093003', '60132231', '60135231', '60139231', '60141231', '60143231', '60146231', '60148231', '60150231', '60184003', '60209000', '60223021', '60315036', '60411001', '60455002', '60566001', '60642003', '60718066', '60741003']"
3,Iodine,"['1003', '273000', '393055', '426010', '451001', '452015', '692010', '694010', '734055', '815120', '816120', '822105', '826066', '830036', '832120', '833021', '834055', '837028', '838055', '50682136', '50720231', '50750066', '50760015', '50846055', '50869021', '50915015', '60001003', '60273000', '60393055', '60426010', '60451001', '60452015', '60692010', '60694010', '60734055', '60815120', '60816120', '60822105', '60826066', '60830036', '60832120', '60833021', '60834055', '60837028', '60838055']"
4,정제수,"['1006', '6000', '10000', '19000', '20000', '21000', '23000', '24000', '25000', '26000', '27000', '29000', '33091', '34105', '35078', '36055', '37015', '38021', '39006', '40006', '41021', '42015', '43000', '44000', '45000', '46000', '47000', '48000', '49000', '50000', '51000', '53000', '56028', '57010', '60055', '61190', '62028', '63000', '64000', '66000', '67000', '68000', '69000', '70105', '71091', '72055', '73023', '74023', '75019', '80000', '81000', '82000', '83000', '84000', '85000', '86000', '88120', '89021', '90000', '92000', '93000', '96000', '97000', '98000', '99000', '100000', '102000', '105000', '108136', '109171', '110190', '111171', '112171', '113136', '114190', '117216', '119015', '121171', '122153', '123120', '124006', '125006', '126006', '127000', '151000', '152006', '153253', '154210', '155105', '162190', '163190', '164253', '165231', '166028', '169171', '170045', '172010', '173253', '174231', '175253', '176171', '177078', '178015', '179078', '180021', '181021', '182021', '185006', '186000', '187000', '190344', '191045', '192036', '193120', '194231', '195105', '196231', '197120', '198091', '199120', '201066', '202028', '203120', '205231', '206091', '207091', '209055', '210120', '211091', '212091', '213055', '214045', '215036', '216000', '217000', '218000', '219190', '220153', '221190', '222078', '223055', '229091', '230105', '231153', '232105', '233120', '234055', '235091', '236021', '237066', '238091', '239021', '240021', '241021', '242021', '244231', '245120', '246210', '247190', '249006', '250010', '251010', '253000', '260210', '261066', '267155', '268077', '269253', '270231', '271253', '277171', '278136', '279055', '280078', '281171', '282136', '283091', '284078', '287010', '288153', '289000', '290000', '291000', '307066', '308171', '309210', '310078', '311210', '312210', '313210', '314210', '315091', '318120', '322021', '323021', '324010', '326068', '327056', '330092', '333045', '334015', '335078', '337091', '338091', '339105', '340136', '341045', '342153', '343171', '344078', '345276', '346190', '347153', '348028', '349105', '350000', '351021', '356153', '357000', '358001', '360000', '361010', '364120', '365021', '367055', '368253', '369171', '370190', '371000', '372028', '373015', '374015', '375021', '376010', '377010', '378015', '379055', '380010', '381010', '382001', '394210', '395190', '396091', '397105', '398091', '399153', '400078', '401066', '402028', '404050', '405055', '406000', '407000', '408000', '409000', '410000', '411000', '412015', '414028', '415028', '416028', '417153', '418120', '419055', '420015', '422010', '423036', '427171', '428171', '429231', '430171', '431066', '432078', '433078', '434190', '435000', '436171', '437077', '438153', '439190', '440136', '441171', '442015', '443015', '444015', '448000', '449000', '450000', '456001', '457153', '458078', '459018', '460036', '462105', '463120', '464120', '465171', '466091', '469036', '470015', '471105', '472120', '473120', '474171', '475006', '476006', '477006', '478006', '479006', '480003', '481006', '482006', '484078', '485010', '487006', '488190', '489153', '490153', '491066', '492066', '493055', '494105', '495066', '504015', '505021', '506077', '507006', '508045', '509015', '511055', '517070', '518044', '519142', '520000', '521043', '522037', '523021', '524048', '525150', '526208', '527206', '528233', '529167', '530130', '531258', '532125', '533000', '537190', '538212', '539153', '540153', '541265', '550003', '551010', '552015', '553006', '554045', '555015', '556078', '557036', '559045', '560028', '561015', '563028', '564021', '566000', '567091', '568190', '569045', '570015', '571015', '572015', '573120', '583191', '584055', '585091', '586078', '587120', '588120', '589006', '590015', '591190', '592091', '595066', '604091', '609015', '610015', '611015', '612015', '613010', '614015', '616171', '617144', '620015', '621015', '622015', '623153', '628091', '629066', '630170', '631126', '632153', '633016', '634010', '642021', '665091', '669055', '670190', '671406', '672055', '692021', '693006', '694021', '695151', '699015', '743001', '744003', '754006', '755000', '756010', '757010', '758010', '759010', '760010', '763010', '771015', '772021', '783003', '786003', '790091', '831028', '10002000', '10003001', '10006000', '10010000', '10011000', '10012000', '10014001', '10015000', '10029000', '10030171', '10032000', '10035000', '10036000', '10041091', '10047000', '10048078', '10049078', '10050078', '10052000', '10055091', '10056078', '10063000', '10065276', '10069000', '10070000', '10071000', '10072000', '10073000', '10074000', '10084000', '10109036', '10127000', '10128000', '10129003', '10133003', '10134003', '10137000', '10150000', '10151000', '10157018', '10158141', '10161000', '10162000', '10165000', '10166000', '10167000', '10170000', '10176000', '10177000', '10180000', '10182000', '10184000', '10198000', '10199000', '10200000', '10202000', '10205055', '10207000', '10217001', '10221000', '10224066', '10225003', '10237000', '10239078', '10240105', '10244000', '10251021', '10252036', '10258000', '10259000', '10260000', '10267000', '10277036', '10279000', '10288000', '10290001', '10295036', '10296045', '10302000', '10306000', '10313000', '10316036', '10317153', '10322036', '10323153', '10329000', '10349000', '10350000', '10351000', '10352000', '10353000', '10393001', '10399006', '10403000', '10404000', '10405000', '10445036', '10447000', '10448000', '10449000', '10450000', '10451000', '10452000', '10453000', '10454000', '10455000', '10456000', '10457000', '10458000', '10459000', '10461000', '10462000', '10463000', '10464000', '10465000', '10466000', '10467000', '10468000', '10469000', '10470000', '10471000', '10472000', '10474000', '10475000', '10476000', '10478000', '10479000', '10480000', '10481000', '10482000', '10483000', '10484000', '10485000', '10486000', '10487000', '10488000', '10489000', '10490000', '10491000', '10492000', '10493000', '10494000', '10495000', '10496000', '10497000', '10498000', '10499000', '10500000', '10501000', '10502000', '10503000', '10504000', '10505000', '10506000', '10507000', '10508000', '10509000', '10510000', '10511000', '10512000', '10513000', '10514000', '10515000', '10516000', '10517000', '10518000', '10519000', '10520000', '10521000', '10522000', '10523000', '10524000', '10525000', '10526000', '10527000', '10528000', '10529000', '10530000', '10531000', '10532000', '10533000', '10534000', '10535000', '10538000', '10539000', '10540000', '10542000', '10543000', '10545000', '10546000', '10548000', '10551000', '10552000', '10560000', '10561000', '10563078', '10564078', '10565000', '10615001', '10625000', '10638010', '10640091', '10641091', '10643036', '10644190', '10649036', '10651021', '10662000', '10663000', '10665000', '10669036', '10692021', '10697000', '10698000', '10699000', '10700000', '10701000', '10706000', '10707000', '10708000', '10710041', '10712000', '10713001', '10726003', '10733092', '10737000', '10738000', '10739120', '10740000', '10752000', '10753000', '10754000', '10755000', '10760000', '10761000', '10762000', '10763000', '10764000', '10765000', '10768210', '10776000', '10779000', '10780000', '10781000', '10782000', '10785171', '10786136', '10790036', '10791000', '10792000', '10793000', '10794000', '10795000', '10801000', '10811000', '10812000', '10813000', '10818015', '10819000', '10821000', '10822000', '10823000', '10830000', '10831000', '10832000', '10833000', '10834001', '10835000', '10836000', '10838028', '10839083', '10840151', '10841104', '10842000', '10843000', '10844000', '10845000', '10846000', '10847000', '10852000', '10860000', '10862000', '10863000', '10874000', '10883000', '10884045', '10885036', '10886000', '10887055', '10889000', '10890153', '10895000', '10896000', '10897000', '10898000', '10899021', '10904000', '10905021', '10906021', '10911000', '10913000', '10918000', '10922210', '10928120', '10929120', '10932000', '10933000', '10934000', '10939000', '10951000', '10952000', '10958000', '10959000', '10960000', '10961000', '10962000', '10972231', '10973231', '10980000', '10988000', '10989000', '10990000', '10991000', '10992000', '10995231', '10996231', '10997045', '20012000', '20013000', '20014000', '20015000', '20016066', '20017000', '20018000', '20019000', '20021000', '20059000', '20060231', '20062000', '20080000', '20092000', '20094351', '20095000', '20100000', '20101000', '20102000', '20104000', '20118000', '20119000', '20125000', '20128028', '20132045', '20140000', '20146599', '20148066', '20152136', '20153015', '20162000', '20170078', '20175000', '20176000', '20180000', '20181000', '20184000', '20185000', '20187015', '20188015', '20202105', '20204000', '20205000', '20206153', '20207136', '20208120', '20213000', '20223000', '20225000', '20227003', '20237036', '20243028', '20249000', '20251120', '20252153', '20253120', '20262091', '20264000', '20273000', '20274000', '20275000', '20276000', '20277300', '20278351', '20279300', '20280171', '20281000', '20282000', '20283000', '20284000', '20285000', '20287028', '20289000', '20290000', '20291000', '20292000', '20293000', '20297045', '20310045', '20333000', '20334000', '20335000', '20344000', '20348000', '20350055', '20354036', '20358000', '20359000', '20360000', '20361066', '20363078', '20365028', '20366000', '20367000', '20368000', '20372253', '20378036', '20381528', '20382528', '20393494', '20404000', '20405000', '20406000', '20407000', '20417055', '20418091', '20446120', '20450001', '20454055', '20464000', '20465000', '20468000', '20469000', '20470000', '20529000', '20535000', '20545000', '20588028', '20591000', '20608045', '20609078', '20621066', '20630210', '20633000', '20653015', '20655000', '20661105', '20662210', '20663055', '20664055', '20685003', '20686003', '20707253', '20717001', '20733210', '20734231', '20735231', '20748066', '20755028', '20756028', '20757021', '20758021', '20759021', '20760078', '20767136', '20768045', '20769190', '20770210', '20771028', '20772055', '20773105', '20774105', '20775190', '20776105', '20777136', '20778210', '20779000', '20780000', '20781000', '20782000', '20783000', '20784000', '20785000', '20786000', '20787000', '20788000', '20789000', '20790000', '20797000', '20811000', '20844016', '20875036', '20876028', '20877045', '20895000', '20909091', '20920036', '20921036', '20930045', '20962000', '20971355', '20972234', '20973279', '20976091', '20977000', '20985091', '20986003', '20987190', '20989442', '20990409', '20991423', '30025529', '30027010', '30046021', '30051066', '30052010', '30054066', '30056018', '30057000', '30058000', '30059000', '30063214', '30064300', '30065231', '30066231', '30067300', '30068091', '30073214', '30074214', '30075214', '30108105', '30113015', '30122033', '30128036', '30131000', '30132000', '30133000', '30135078', '30147210', '30158000', '30159000', '30160000', '30162078', '30163021', '30164036', '30165078', '30185171', '30192210', '30193231', '30202045', '30203021', '30206028', '30207028', '30208028', '30209036', '30210066', '30211028', '30214136', '30215153', '30218000', '30219000', '30223136', '30226000', '30227000', '30228000', '30229000', '30230000', '30231000', '30235055', '30236055', '30237028', '30238000', '30239021', '30247063', '30248014', '30255171', '30256171', '30257055', '30258055', '30265153', '30266093', '30267093', '30274001', '30276120', '30277078', '30288024', '30289055', '30290066', '30291036', '30293015', '30300000', '30301000', '30302000', '30315153', '30316021', '30317078', '30325078', '30343105', '30344066', '30354000', '30355000', '30356000', '30357000', '30358000', '30364190', '30369000', '30383003', '30392000', '30413091', '30414078', '30415120', '30422276', '30435036', '30436036', '30437036', '30444190', '30445078', '30446045', '30447045', '30465156', '30466078', '30470036', '30471045', '30477529', '30488242', '30497066', '30498028', '30517036', '30533066', '30534078', '30535015', '30536046', '30537120', '30548000', '30549000', '30575205', '30579021', '30580210', '30581158', '30582158', '30583197', '30584190', '30585003', '30587153', '30588153', '30589136', '30590059', '30591071', '30592059', '30602000', '30603000', '30605000', '30606000', '30608000', '30611000', '30612000', '30614000', '30615000', '30616000', '30617000', '30623000', '30624000', '30625000', '30626000', '30632006', '30634013', '30635190', '30644595', '30645595', '30646561', '30647435', '30648378', '30673325', '30686351', '30687140', '30690006', '30696028', '30706036', '30731006', '30736028', '30740171', '30757045', '30761190', '30763066', '30789147', '30794036', '30797153', '30798171', '30799210', '30800153', '30801210', '30806378', '30807091', '30808277', '30822036', '30825055', '30829036', '30831066', '30847351', '30848300', '30854006', '30855028', '30856136', '30857465', '30858153', '30859015', '30860078', '30861465', '30862028', '30863496', '30867190', '30875091', '30876120', '30893036', '30895091', '30896057', '30901036', '30902015', '30903028', '30904120', '30905136', '30906136', '30907153', '30908036', '30909045', '30910055', '30920028', '30921015', '30922016', '30923022', '30929091', '30930091', '30932021', '30934078', '30935045', '30936105', '30937034', '30950000', '30961015', '30975000', '30976000', '30978153', '30979136', '30982000', '40004153', '40008153', '40021055', '40073171', '40074153', '40075010', '40076120', '40077055', '40078105', '40079028', '40080010', '40081028', '40082066', '40083120', '40084105', '40085010', '40086021', '40087091', '40088006', '40089055', '40090105', '40091105', '40092055', '40093055', '40094105', '40095091', '40096105', '40097120', '40098055', '40099105', '40100120', '40101055', '40102091', '40103171', '40104190', '40105190', '40106091', '40107171', '40115015', '40129030', '40158136', '40159136', '40171091', '40236010', '40247153', '40248153', '40249021', '40251045', '40258003', '40259171', '40260136', '40261136', '40262153', '40268045', '40290048', '40292048', '40296190', '40297136', '40298190', '40299190', '40316000', '40319021', '40322190', '40323253', '40324253', '40335021', '40341028', '40360028', '40361000', '40399055', '40403015', '40408021', '40409021', '40410021', '40420153', '40421136', '40422153', '40423136', '40424055', '40435276', '40441091', '40458397', '40470171', '40471171', '40473010', '40489036', '40490021', '40491105', '40492055', '40493021', '40503105', '40508041', '40509006', '40512066', '40515088', '40516091', '40517021', '40520006', '40521083', '40522082', '40534136', '40541137', '40542149', '40543153', '40544120', '40545120', '40546120', '40553045', '40566001', '40567015', '40568001', '40569001', '40583120', '40594276', '40599066', '40602050', '40603006', '40604021', '40605091', '40606087', '40607190', '40608190', '40609171', '40610000', '40611066', '40612091', '40613105', '40614036', '40615000', '40728001', '40729003', '40730105', '40743066', '40744190', '40757028', '40773190', '40776010', '40779066', '40780028', '40781036', '40782045', '40783045', '40787028', '40789015', '40795120', '40799028', '40841015', '40842136', '40846078', '40847097', '40848112', '40851010', '40852015', '40870153', '40880010', '40881136', '40882124', '40883136', '40884171', '40891045', '40915136', '40916136', '40917136', '40921045', '40929171', '40930276', '40931276', '40936015', '40940036', '40941015', '40946064', '40950031', '40951036', '40965210', '40968036', '40981036', '40982190', '40988021', '40991153', '40992171', '40993171', '40994190', '40999046', '50005010', '50007153', '50008091', '50009105', '50010000', '50011000', '50012000', '50013000', '50014000', '50015000', '50017000', '50038010', '50046021', '50047021', '50049021', '50050028', '50058021', '50063378', '50065045', '50066057', '50067057', '50068153', '50069153', '50070153', '50083021', '50086028', '50087028', '50088015', '50119171', '50120300', '50121276', '50122276', '50123276', '50124120', '50125120', '50126136', '50136153', '50137153', '50138171', '50139171', '50149010', '50168136', '50169136', '50170153', '50172028', '50173021', '50187003', '50204028', '50205135', '50242015', '50250171', '50251171', '50252153', '50265043', '50278021', '50288028', '50295136', '50304068', '50305043', '50312050', '50319000', '50321028', '50322021', '50323028', '50324028', '50328021', '50332055', '50333045', '50334036', '50335015', '50353253', '50354231', '50355190', '50356190', '50360045', '50361015', '50362066', '50363165', '50364136', '50365136', '50366153', '50367153', '50368045', '50369036', '50379171', '50380098', '50381128', '50382103', '50384036', '50385136', '50386153', '50387105', '50392055', '50393015', '50394153', '50395153', '50396136', '50404153', '50405171', '50406171', '50418055', '50419045', '50420036', '50439253', '50442078', '50450021', '50451136', '50453153', '50454171', '50528010', '50532055', '50539276', '50540276', '50541276', '50558045', '50559066', '50560091', '50562120', '50568253', '50569253', '50570045', '50571028', '50572136', '50573153', '50574120', '50576000', '50578153', '50583015', '50594045', '50596045', '50606028', '50608055', '50619051', '50621070', '50638091', '50639045', '50640021', '50641015', '50649043', '50661171', '50662153', '50663055', '50664015', '50665015', '50666015', '50667055', '50674045', '50675036', '50676045', '50677036', '50678055', '50679036', '50681006', '50683015', '50684045', '50686084', '50690036', '50691120', '50692036', '50693072', '50694036', '50696028', '50697036', '50698045', '50699136', '50700171', '50701153', '50702276', '50703276', '50704276', '50705300', '50706171', '50708021', '50710010', '50711006', '50712001', '50716153', '50717171', '50718055', '50725015', '50731066', '50736000', '50737020', '50748120', '50749036', '50757036', '50762028', '50763028', '50764153', '50765136', '50766153', '50768300', '50769300', '50770325', '50771300', '50772276', '50773435', '50783096', '50784091', '50785021', '50786025', '50787025', '50788025', '50794011', '50795120', '50796120', '50797105', '50799000', '50800000', '50801000', '50802000', '50803001', '50804000', '50805000', '50806000', '50808000', '50809000', '50810000', '50811000', '50812000', '50813000', '50814000', '50815000', '50816000', '50817000', '50818000', '50819000', '50820000', '50821000', '50822000', '50823000', '50824000', '50825000', '50826000', '50827000', '50828000', '50829000', '50830003', '50831000', '50832003', '50833000', '50834003', '50836015', '50837010', '50838003', '50840003', '50841003', '50842006', '50843000', '50844000', '50845000', '50846000', '50847000', '50848000', '50849000', '50850000', '50851001', '50852000', '50853000', '50854000', '50855000', '50856000', '50857000', '50858000', '50861036', '50862091', '50873045', '50874105', '50901055', '50902066', '50903066', '50911036', '50912091', '50913066', '50921001', '50922045', '50923036', '50930055', '50931153', '50932136', '50933153', '50934021', '50935060', '50936060', '50947045', '50961001', '50967000', '60006000', '60010000', '60019000', '60020000', '60021000', '60023000', '60024000', '60025000', '60026000', '60027000', '60029000', '60039006', '60043000', '60044000', '60045000', '60046000', '60047000', '60048000', '60049000', '60051000', '60053000', '60063000', '60064000', '60066000', '60067000', '60068000', '60069000', '60073023', '60074023', '60075019', '60080000', '60081000', '60082000', '60083000', '60084000', '60085000', '60086000', '60090000', '60092000', '60093000', '60096000', '60099000', '60100000', '60102000', '60105000', '60117216', '60127000', '60128000', '60129000', '60130000', '60149000', '60151000', '60170045', '60185006', '60186000', '60187000', '60216000', '60217000', '60218000', '60249006', '60253000', '60258000', '60289000', '60290000', '60291000', '60305000', '60357000', '60358001', '60360000', '60369171', '60370190', '60371000', '60375000', '60381010', '60382001', '60401066', '60402028', '60406000', '60407000', '60408000', '60410000', '60411000', '60412006', '60435000', '60437077', '60448000', '60450000', '60456001', '60459018', '60485010', '60487006', '60503000', '60504015', '60506077', '60507006', '60511055', '60517070', '60518044', '60519142', '60520000', '60521043', '60522037', '60524048', '60533000', '60538212', '60541265', '60553006', '60559045', '60566000', '60630170', '60631000', '60633016', '60670190', '60695151', '60743001', '60755000', '60763010', '60772021', '60778000', '60790091']"
5,Solvent,['2000']
6,Vegetable grain oil,['2001']
7,Essential Oil Extracts,"['2003', '50864006', '60002006']"
8,Neem oil,"['2006', '294010', '379015', '50808003', '50811001', '50844055', '60294010', '60379015']"
9,PVP,"['2010', '20507001', '30627006', '40153003']"
