idx,kind
0,시고르자브종
1,골든 리트리버
2,그레이트 덴
3,그레이하운드
4,꼬똥 드 툴레아
5,네오폴리탄 마스티프
6,노르위전 엘크하운드 (그레이)
7,노르위전 엘크하운드 (블랙)
8,노리치 테리어
9,노바 스코샤 덕 톨링 리트리버
10,노퍽 테리어
11,뉴펀들랜드
12,닥스훈트
13,달마시안
14,댄디 딘몬트 테리어
15,도고 아르헨티노
16,도베르만
17,도사
18,디어하운드
19,라사 압소
20,라지 먼스터랜더
21,래브라도 리트리버
22,러프 콜리
23,레온베르거
24,레이크랜드 테리어
25,로디지안 리즈백
26,로트바일러
27,리틀 라이언 독
28,마스티프
29,말티즈
30,맨체스터 테리어
31,미니어처 불 테리어
32,미니어쳐 슈나이저
33,미니어쳐 푸들
34,미니어쳐 핀셔
35,미디엄 푸들
36,바센지
37,바셋 하운드
38,바이마라너
39,버니즈 마운틴 독
40,베들링턴 테리어
41,벨지안 셰퍼드 독
42,보더 콜리
43,보르조이
44,보스턴 테리어
45,복서
46,부비에 데 플랑드르
47,불 테리어
48,불독
49,불마스티프
50,브뤼셀 그리폰
51,브리타니 스파니엘
52,블랙 앤 탄 쿤 하운드
53,블러드하운드
54,비글
55,비숑 프리제
56,비어디드 콜리
57,비즐라
58,빠삐용
59,쁘띠 바셋 그리폰 벤딘
60,사모예드
61,살루키
62,샤페이
63,세인트 버나드
64,센트럴 아시아 셰퍼드독
65,셰틀랜드 쉽독
66,슈나우저
67,스무스 콜리
68,스무스 폭스 테리어
69,스카이 테리어
70,스코티쉬 테리어
71,스탠다드 푸들
72,시바
73,시베리안 허스키
74,시츄
75,시코쿠
76,실리햄 테리어
77,아메리칸 스태포드셔 테리어
78,아메리칸 아키타
79,아메리칸 코커 스파니엘
80,아이리쉬 레드 세터
81,아이리쉬 레드 앤 화이트 세터
82,아이리쉬 울프하운드
83,아이리쉬 워터 스파니엘
84,아이리쉬소프트 코티드 휘튼 테리어
85,아자와크
86,아키타
87,아펜핀셔
88,아프간 하운드
89,알래스칸 말라뮤트
90,에어데일 테리어
91,오스트레일리언 셰퍼드
92,오스트레일리언 캐틀 독
93,올드 잉글리쉬 쉽독
94,와이어 폭스 테리어
95,요크셔 테리어
96,웨스트 시베리안 라이카
97,웨스트 하일랜드 화이트 테리어
98,웰시 코기 카디건
99,웰시 코기 펨브로크
100,웰시 테리어
101,이스트 시베리안 라이카
102,이탈리안 사이트하운드
103,잉글리쉬 세터
104,잉글리쉬 스프링거 스파니엘
105,잉글리쉬 코커 스파니엘
106,잉글리쉬 포인터
107,자이언트 슈나우저
108,재패니즈 스피츠
109,재패니즈 친
110,잭 러셀 테리어
111,저먼 셰퍼드 독
112,저먼 숏 헤어드 포인팅 독
113,저먼 스치프 (키스혼드)
114,저먼 스피츠 (미니어처 스피츠)
115,저먼 스피츠 (미디엄 스피츠)
116,저먼 스피츠 (자이언트 스피츠)
117,포메라니안
118,저먼 와이어 헤어드 포인팅 독
119,저먼 헌팅 테리어
120,차우차우
121,차이니즈 크레스티드 독
122,체코슬로바키안 울프독
123,치와와
124,캐벌리어 킹 찰스 스파니엘
125,케리 블루 테리어
126,케언 테리어
127,케인 코르소 이탈리아노
128,코리안 진도 독 (진돗개)
129,코몬도르
130,코카시안 셰퍼드독
131,키슈
132,킹 찰스 스파니엘
133,타이 리지백 독
134,타이완 독
135,토이 푸들
136,티베탄 마스티프
137,티베탄 테리어
138,파라오 하운드
139,파슨 러셀 테리어
140,퍼그
141,페키니즈
142,포르투키즈 워터 독
143,풀리
144,프레사 까나리오
145,프렌치 불독
146,플랫 코티드 리트리버
147,피레니언 마운틴 독
148,필라 브라질레이로
149,훗카이도견
150,휘핏
