idx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화장품index,화장품명,성분index,성분명(대표어),성분명(국문),성분명(영문),이명,배합목적,EWG 등급,EWG 데이터,Allergy T/F,toxic T/F/N,Poison T(data)/N,사용한도 초과/이내/해당없음(T/F/N),사용금지(T/F),항지루,진정제,완화제,재생,방부제,수렴제,항균,항진균,항바이러스,모낭 홍조에 도움,기름 제거,각질분해,pH 감소,면포분해,항미생물제,각질형성,가려움증 감소,혈관 작용제,프로스타글란딘(호르몬 물질) 감소,소염제,항알레르기,보습제,마취제,항생제,정균,살포자제,"박리, 박피",피부 장벽 재건설,항산화제,자외선 차단제,미용제,항라디컬제,콜라겐 합성,케라틴 합성,엘라스틴 합성,pH 정상화,탈취제
5000,프로페셔널 화이트닝 샴푸,786,Water,정제수,Water,"Aqua (EU),Deionized Water,Distilled Water","피부컨디셔닝제, 용제",1,Robust,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
5000,프로페셔널 화이트닝 샴푸,1425,Lauryl sodium sulfate,소듐라우릴설페이트,Sodium Lauryl Sulfate,Sodium dodecyl sulphate,"변성제, 계면활성제-세정제",01-02,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
5000,프로페셔널 화이트닝 샴푸,2389,Sodium Laureth Sulfate,소듐라우레스설페이트,Sodium Laureth Sulfate,sodium 2-(2-dodecyloxyethoxy)ethyl sulphate,"계면활성제-세정제, 계면활성제-유화제",01-03,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
5000,프로페셔널 화이트닝 샴푸,835,Disodium cocoamphodiacetate,다이소듐코코암포다이아세테이트,Disodium Cocoamphodiacetate,Disodium N-2-(N-(2-carboxymethoxyethyl)-N-carboxymethylamino)ethylcocamide,"헤어컨디셔닝제, 계면활성제(세정제), 계면활성제(거품촉진제), 계면활성제(친수제)",1,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
5000,프로페셔널 화이트닝 샴푸,636,Cocamide DEA,코카마이드디이에이,Cocamide DEA,"Amides, coco, N,N-bis(hydroxyethyl)","계면활성제(거품촉진제), 점도증가제(수성)",7,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7000,슈퍼 클리닝 샴푸,786,Water,정제수,Water,"Aqua (EU),Deionized Water,Distilled Water","피부컨디셔닝제, 용제",1,Robust,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7000,슈퍼 클리닝 샴푸,154,Ammonium Lauryl Sulfate,암모늄라우릴설페이트,Ammonium Lauryl Sulfate,Ammonium dodecyl sulphate,계면활성제-세정제,1,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7000,슈퍼 클리닝 샴푸,645,Cocamidopropyl Betaine,코카미도프로필베타인,Cocamidopropyl Betaine,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., hydroxides, inner salts","정전기방지제, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제, 점증제-수용성",01-05,Good,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7000,슈퍼 클리닝 샴푸,636,Cocamide DEA,코카마이드디이에이,Cocamide DEA,"Amides, coco, N,N-bis(hydroxyethyl)","계면활성제(거품촉진제), 점도증가제(수성)",7,Fair,F,N,"T 
무기력증, 쇠약, 저혈압, 빈맥, 구토, 설사",N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7000,슈퍼 클리닝 샴푸,2115,Propylene,프로필렌,Propylene,-,"계면활성제(거품촉진제), 점도증가제(수성)",2,Limited,F,N,T,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7000,슈퍼 클리닝 샴푸,1115,Glycerin,글리세린,Glycerin,"Glycerol (INN); Glycerol (RIFM); Glycerolum (EP); Glycyl Alcohol; 1,2,3-Propanetriol; 1,2,3-Trihydroxypropane","변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",01-02,Good,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7000,슈퍼 클리닝 샴푸,882,DMDM Hydantoin,디엠디엠하이단토인,DMDM Hydantoin,"1,3-bis(Hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione",살균보존제,6,Limited,F,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7000,슈퍼 클리닝 샴푸,601,Citric Acid,시트릭애씨드,Citric Acid,"2-Hydroxy-1,2,3-propanetricarboxylic acid","금속이온봉쇄제, 향료, pH 조절제",01-02,Good,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,2143,Purified water,정제수,Water,"Aqua (EU),Deionized Water,Distilled Water","피부컨디셔닝제, 용제",1,Robust,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,676,Coconut Alcohol,코코넛알코올,Coconut Alcohol,"Alcohols, coco","유화안정제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",1,None,T,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,1425,Lauryl sodium sulfate,소듐라우릴설페이트,Sodium Lauryl Sulfate,Sodium dodecyl sulphate,"변성제, 계면활성제-세정제",01-02,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,1253,Hydrolyzed keratin protein,하이드롤라이즈드케라틴,Hydrolyzed Keratin,"Keratins, hydrolyzates","모발컨디셔닝제, 손톱컨디셔닝제, 피부컨디셔닝제",01-02,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,2755,Triticum Vulgare (Wheat) Protein,밀단백질,Triticum Vulgare (Wheat) Protein,-,"피막형성제, 모발컨디셔닝제, 피부컨디셔닝제",1,Limited,T,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,1115,Glycerin,글리세린,Glycerin,"Glycerol (INN); Glycerol (RIFM); Glycerolum (EP); Glycyl Alcohol; 1,2,3-Propanetriol; 1,2,3-Trihydroxypropane","변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",01-02,Good,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,115,Aloe Barbadensis Extract,알로에베라추출물,Aloe Barbadensis Extract,-,피부컨디셔닝제(기타),01-03,Limited,F,T,T,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,601,Citric Acid,시트릭애씨드,Citric Acid,"2-Hydroxy-1,2,3-propanetricarboxylic acid","금속이온봉쇄제, 향료, pH 조절제",01-02,Good,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,400,Calendula Officinalis Extract,포트마리골드추출물,Calendula Officinalis Extract,-,피부컨디셔닝제(기타),1,Limited,F,F,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,105,Allantoin,알란토인,Allantoin,-,"피부컨디셔닝제, 피부보호제",1,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
