코드,업체명,제품명,단위,수리일자,약효분류,적응증,축종명칭
100020-A-0039,이글벳,아피스 이뮨 산,KG,2021-09-28,HZ12901A211,기타영양공급약,꿀벌
100020-A-0040,이글벳,아피스 이뮨비타 산,KG,2021-09-28,HZ12901A211,기타영양공급약,꿀벌
100114-A-0334,로쎄앙,헨로포우 양치펜,KG,2021-09-28,KC12005B131,기타치아세정제,개/강아지/고양이
100125-A-0091,나우코스,아토고 벳 : 크리닉 크림,L,2021-09-28,KC90001L131,애완동물용보습제,개/강아지/고양이
100222-A-0150,그린코스,부드럽개 발라줄개,L,2021-09-28,KC90001Z131,애완동물용보습제,개/강아지/고양이
100391-A-0003,와이제이케이 코스메틱,디펫츠 매직파우더,KG,2021-09-28,KC90001A131,애완동물용보습제,개/강아지/고양이
100391-A-0004,와이제이케이 코스메틱,디펫츠 매직폼 샴푸,KG,2021-09-28,KC20100B131,세척용샴푸,개/강아지/고양이
100239-A-0164,동방코스메틱,포프랩 엠 스팟 크림,KG,2021-09-27,KC90001B131,애완동물용보습제,개/강아지/고양이
100111-A-0064,디에스엠 뉴트리션 코리아,홀스 멀티-프리믹스 산제,KG,2021-09-23,HZ12901A111,기타영양공급약,말
100114-A-0332,로쎄앙,덴탈버블치약,KG,2021-09-23,KC12001B131,치약,개/강아지/고양이
100114-A-0333,로쎄앙,헨로포우 덴탈스프레이,KG,2021-09-23,KC10001B131,구중청량제,개/강아지/고양이
100125-A-0090,나우코스,아토고 벳 : 크리닉 샴푸,L,2021-09-23,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0149,그린코스,케니펠리 인텐시브 하이드레이션 샴푸,L,2021-09-23,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0148,그린코스,메디레시피 세라마이드 퓨어 컨트롤 네이처 펫 샴푸,L,2021-09-14,KC20100B131,세척용샴푸,개/강아지/고양이
100239-A-0163,동방코스메틱,메디멀 효소치약 닭고기 향,KG,2021-09-14,KC12001B131,치약,개/강아지/고양이
100427-A-0001,펫츄리얼,댕댕이의 밤 [프레쉬 러브],KG,2021-09-14,KC60900A131,기타세척제,개/강아지/고양이
100427-A-0002,펫츄리얼,말티의 밤 [스위티 프루티],KG,2021-09-14,KC60900A111,기타세척제,개
100427-A-0003,펫츄리얼,시바의 밤 [라벤더],KG,2021-09-14,KC60900A121,기타세척제,개/강아지
100427-A-0004,펫츄리얼,푸들의 밤 [허니 자몽],KG,2021-09-14,KC60900A121,기타세척제,개/강아지
100427-A-0005,펫츄리얼,비숑의 밤 [체리블라썸],KG,2021-09-14,KC60900A121,기타세척제,개/강아지
100427-A-0006,펫츄리얼,포메의 밤 [피톤치드],KG,2021-09-14,KC60900A121,기타세척제,개/강아지
100090-A-0262,서울화장품,페이스클렌징,KG,2021-09-13,KC60900B131,기타세척제,개/강아지/고양이
100125-A-0089,나우코스,포앤팜 밸런싱 모이스처 크림,KG,2021-09-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100222-A-0147,그린코스,깨끗하개 씻어줄개,L,2021-09-13,KC60900B131,기타세척제,개/강아지/고양이
100387-A-0007,저스트파이브세컨즈,펌블펫솝 프라나 로럴 샴푸,KG,2021-09-13,KC20100B131,세척용샴푸,개/강아지/고양이
100415-A-0005,히람엘투 주식회사,펫아로마미스트,KG,2021-09-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100415-A-0006,히람엘투 주식회사,펫아로마스프레이(라벤더),KG,2021-09-13,KC80003B131,애완동물악취제거제,개/강아지/고양이
100415-A-0007,히람엘투 주식회사,펫아로마스프레이(유칼립투스),KG,2021-09-13,KC80003B131,애완동물악취제거제,개/강아지/고양이
100415-A-0008,히람엘투 주식회사,펫아로마롤온(고고드라이브),KG,2021-09-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100415-A-0009,히람엘투 주식회사,펫아로마롤온(해피해피),KG,2021-09-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100421-A-0001,그라프펫,샤이니독 샴푸,KG,2021-09-13,KC20100B11X,세척용샴푸,개
100421-A-0002,그라프펫,밀키웨이 샴푸,KG,2021-09-13,KC20100B13X,세척용샴푸,개/강아지/고양이
200326-A-0091,지엘씨 코리아,펫에스테 바이오 아이 케어 <포 독스 앤 캣츠>,L,2021-09-10,KC60100B122,귀세척제,개/고양이
100009-A-0063,진우약품,도그-뉴트리(겔),KG,2021-09-09,HZ12901B111,기타영양공급약,개
100119-A-0125,피엘코스메틱,산책 블랑쉬 드 퍼퓸 펫 샴푸,L,2021-09-09,KC20100B131,세척용샴푸,개/강아지/고양이
100119-A-0126,피엘코스메틱,산책 블랑쉬 드 퍼퓸 펫 미스트,L,2021-09-09,KC90001B131,애완동물용보습제,개/강아지/고양이
100415-A-0002,히람엘투 주식회사,펫아로마밤,KG,2021-09-09,KC90001G131,애완동물용보습제,개/강아지/고양이
